domain,use_case,use_case_description,knowledge_dimensions,task_id,task_title,reference_material,sample_questions,reference_material_source,comprehension_quiz_source,task_inspiration,task_description,cq_format,additional_prompts
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,nutrition-bone-health,Nutrition and bone health,nutrition-bone-health.pdf,,Bone Health & Nutrition Foundation: https://www.bonehealthandosteoporosis.org/patients/treatment/nutrition/,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,ibs-fodmap-diet,IBS and FODMAP diet,ibs-fodmap-diet.pdf,,Monash University: https://www.monashfodmap.com/documents/5/3-step_FODMAP_Diet.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,diabetes-meal-planning,Diabetes meal planning,diabetes-meal-planning.pdf,,Northwestern University: https://www.nm.org/-/media/northwestern/resources/patients-and-visitors/patient-education/diet-and-nutrition/northwestern-medicine-diabetes-meal-planning-getting-started.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Dietary planning,Learn how to plan menus or diets from food selection to preparation based on nutritional needs or constraints.,Factual,coeliac-disease-gluten-free,Coeliac disease and gluten free diet,coeliac-disease-gluten-free.pdf,,British Dietetic Association (BDA): https://www.bda.uk.com/resource/coeliac-disease-and-gluten-free-diet.html?_gl=1*1467rg*_up*MQ..*_ga*MTczMjA4NzgwMy4xNzcwMzAzMTUy*_ga_7W0H5VXNW9*czE3NzAzMDMxNTEkbzEkZzEkdDE3NzAzMDMxOTgkajEzJGwwJGgw,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,massage-therapy,Massage therapy,massage-therapy.pdf,,NIH: https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,relaxation-techniques,Relaxation techniques,relaxation-techniques.pdf,,NIH: https://www.nccih.nih.gov/health/relaxation-techniques-what-you-need-to-know,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,meditation-techniques,Meditation techniques,meditation-techniques.pdf,,Mayo Clinic: https://www.mayoclinic.org/tests-procedures/meditation/in-depth/meditation/art-20045858?p=1,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Health,Wellbeing,"Learn about how to manage mental wellbeing when facing daily scenarios, including dealing with stress, maintaining positivity, coping with procrastination, etc.",Factual,qigong,Qigong,qigong.pdf,,Cleveland Clinci: https://health.clevelandclinic.org/what-are-the-health-benefits-of-qigong,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,eviction-process,Eviction process,eviction-process.pdf,,State of California DOJ: https://oag.ca.gov/system/files/media/Know-Your-Rights-Eviction-Process-English.pdf,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
Civics,Housing,Learn about housing laws and regulations and apply them to daily housing situations.,Factual,housing-discrimination-complaint,Housing discrimination complaint,housing-discrimination-complaint.pdf,,Consumer Action: https://www.consumer-action.org/english/articles/filing_a_housing_discrimination_complaint,AQG,Found through automatic source discovery.,,single-select MCQs with 5 options and one correct answer,
